id,old_id,name,created_at,updated_at,deleted_at
0002a9a6-e529-4e72-b74b-edc33e921e87,,fantasy,2025-09-12 09:13:38.927285+00,2025-09-12 09:13:38.927285+00,
0002b8e1-b5ac-4ffe-b60c-ecd050cc247e,,entertainment,2026-01-22 14:35:19.087524+00,2026-01-22 14:35:19.087524+00,
00042824-de1b-4af2-8154-63bc62dfa98e,,fantasy,2025-09-24 03:11:29.582839+00,2025-09-24 03:11:29.582839+00,
00046faa-6420-4223-8a83-2b24d527e808,,inspiration,2025-10-03 17:57:06.305772+00,2025-10-03 17:57:06.305772+00,
00054595-9b52-479c-a49d-02036875e85f,,historical fiction,2025-07-05 02:24:54.465464+00,2025-07-05 02:24:54.465464+00,
00061fa0-224d-46ff-99aa-ceca8906d9f3,,horror,2025-05-22 01:00:53.776326+00,2025-05-22 01:00:53.776326+00,
00080d9a-2b42-4135-9870-0a8e7c6954b0,,kitchen,2025-11-27 06:53:06.023556+00,2025-11-27 06:53:06.023556+00,
000839d8-4224-49c6-b7af-8df08ef59421,,supernatural,2025-10-28 01:04:03.434232+00,2025-10-28 01:04:03.434232+00,
00084d06-d4c0-4012-bcea-623e02dadbb8,,humor,2025-12-15 15:58:02.608245+00,2025-12-15 15:58:02.608245+00,
000888e7-71e1-4b82-a88a-8e2650df3877,,adventure,2025-12-17 13:33:33.817778+00,2025-12-17 13:33:33.817778+00,
0008c8fe-81ef-4cac-9133-085d2793ee96,,crime,2025-12-11 16:07:13.680416+00,2025-12-11 16:07:13.680416+00,
0009b8a3-5695-46d4-ac88-5d23df2ae7c0,,beach,2025-06-18 14:20:04.374516+00,2025-06-18 14:20:04.374516+00,
0009c2b5-5857-4034-a2ea-a0cd41d380e3,,teen,2025-11-16 13:44:34.788253+00,2025-11-16 13:44:34.788253+00,
000a1839-4db1-412a-8b37-dbeb42966324,,adventure,2025-11-13 16:32:56.224984+00,2025-11-13 16:32:56.224984+00,
000a26f0-b3d0-46c6-b967-92cd6f244d70,,fun,2025-05-09 04:30:16.112932+00,2025-05-09 04:30:16.112932+00,
000c60fe-91fe-4eee-8aaf-052fde26bbcc,,humor,2026-02-27 01:40:19.949448+00,2026-02-27 01:40:19.949448+00,
000e9c35-ef43-49e4-b945-15060ebf6cae,,adventure,2025-10-17 06:34:48.942966+00,2025-10-17 06:34:48.942966+00,
000ec8e4-5495-4446-8adc-9c187df2a82e,,nature,2025-07-22 18:08:53.248133+00,2025-07-22 18:08:53.248133+00,
